Index	ID
1	BCH_15
2	BCH_37
3	BHH_14
5	BRO_1
6	BRO_2
7	BRO*_6
74	BRO*_8
118	BRO*_9
126	BRO*_10
175	BRO*_15
183	BRO*_16
206	BRO*_18
236	BRO*_19
265	BRO*_20
288	BRO*_22
290	BRO*_24
298	HOD_3
330	HOD_16
333	LYD_22
336	LYD_25
354	LYD_26
381	LYD_28
421	LYD_31
434	LYD_34
438	MOF_6
439	MOF_13
481	MOF_25
520	MOF_29
524	SWD_7
530	SWD_16
536	SWD_34
560	SWD_45
570	WIS_17
579	BCH_14
582	BCH_28
589	BCH_30
598	BCH_33
645	BHH_20
655	BRO*_21
666	BRO*_25
685	HOD_27
686	MOF_9
687	MOF_39
705	SWD_9
706	SWD_19
708	SWD_21
709	SWD_38
710	SWD_40
